ID ,Traffic Volume Count Location  Address,Street,Date of Count,Total Passing Vehicle Volume,Vehicle Volume By Each Direction of Traffic
73,4563 South,Michigan Ave,3/2/2006,7900,South Bound: 7900/ Oneway South Bound
139,9933 South,Western Ave,3/23/2006,35700,North Bound: 17600 / South Bound: 18100
1213,233 West,Lake St,11/7/2006,13200,East Bound: 13200 / / Oneway East Bound
310,268 East,Pershing Rd,4/25/2006,7200,East Bound: 3400 / West Bound: 3800
228,5710 South,Loomis St,3/23/2006,3500,North Bound: 1700 / South Bound: 1800
1357,200 East,Jackson Dr,9/28/2006,7900,East Bound: 4000 / West Bound: 3900
1326,350 North,Michigan Ave,11/7/2006,44000,North Bound: 21300 / South Bound: 22700
585,9450 South,Jeffery Ave,9/6/2006,19400,North Bound: 9300 / South Bound: 10100
287,2358 South,Blue Island Ave,3/30/2006,13400,North Bound: 6700 / South Bound: 6700
33,6755 South,Damen Ave,3/2/2006,16600,North Bound: 7900 / South Bound: 8700
448,1450 West,Foster Ave,8/20/2006,24100,East Bound: 11200 / West Bound: 12900
687,6071 North,Western Ave,8/22/2006,34600,North Bound: 15900 / South Bound: 18700
87,8149 South,State St,5/2/2006,7500,North Bound: 7500 / / Oneway North Bound
424,618 West,Addison St,8/15/2006,11600,East Bound: 6100 / West Bound: 5500
1228,1920 West,83rd St,10/4/2006,13900,East Bound: 7400 / West Bound: 6500
16,5325 South,Cottage Grove Ave,2/1/2006,13700,North Bound: 7200 / South Bound: 6500
482,4307 West,Grand Ave,11/13/2006,11900,East Bound: 6600 / West Bound: 5300
1006,643 North,Central Ave,10/18/2006,24800,North Bound: 10400 / South Bound: 14400
414,5838 West,Lake St,11/14/2006,7100,East Bound: 3600 / West Bound: 3500
68,1255 South,Michigan Ave,3/2/2006,20600,North Bound: 11200 / South Bound: 9400
615,2157 South,Damen Ave,8/17/2006,24700,North Bound: 12800 / South Bound: 11900
342,651 South,Jefferson St,4/26/2006,6400,North Bound: 6400 / / Oneway North Bound
1372,2134 South,Ashland Ave,8/24/2006,44700,North Bound: 22400 / South Bound: 22300
656,3628 North,Milwaukee Ave,8/23/2006,14400,North Bound: 6500 / South Bound: 7900
849,7121 West,Addison Ave,8/14/2006,20700,East Bound: 10400 / West Bound: 10300
166,120 East,63rd St,3/28/2006,12400,East Bound: 7800 / West Bound: 4600
768,2300 North,Racine Ave,10/26/2006,13000,North Bound: 7500 / South Bound: 5500
537,230 South,La Salle St,9/21/2006,7700,North Bound: 3600 / South Bound: 4100
1141,35 South,Racine Ave,11/14/2006,11300,North Bound: 6200 / South Bound: 5100
1196,4116 West,87th St,10/3/2006,21500,East Bound: 11400 / West Bound: 10100
1339,390 West,Monroe St,9/20/2006,16000,East Bound: 16000 / / Oneway East Bound 
63,8547 South,Jeffery Blvd,3/29/2006,12400,North Bound: 5700 / South Bound: 6700
504,10 East,Washington St,9/26/2006,12700,East Bound: 12700 / / Oneway East Bound 
1181,2455 South,Pulaski Rd,9/14/2006,21500,North Bound: 11600 / South Bound: 9900
367,9915 South,Van Vlissingen Rd,5/4/2006,6800,North Bound: 3400 / South Bound: 3400
1178,2004 South,Kostner Ave,9/12/2006,19200,North Bound: 10000 / South Bound: 9200
261,506 West,43rd St,4/25/2006,6800,East Bound: 2700 / West Bound: 4100
989,1640 North,Milwaukee Ave,10/23/2006,12800,North Bound: 6800 / South Bound: 6000
866,5320 North,Cumberland Ave,8/17/2006,40600,North Bound: 19700 / South Bound: 20900
204,3100 East,87th Street,3/28/2006,8800,East Bound: 4300 / West Bound: 4500
1359,120 East,Randolph St,9/19/2006,19900,East Bound: 10300 / West Bound: 9600
757,7150 South,Cottage Grove Ave,12/19/2006,21400,North Bound: 9500 / South Bound: 11900
1018,652 North,Western Ave,10/5/2006,32400,North Bound: 16800 / South Bound: 15600
1323,4855 South,Western Ave,10/31/2006,35100,North Bound: 17000 / South Bound: 18100
382,10344 South,Torrence Ave,11/14/2006,21600,North Bound: 11200 / South Bound: 10400
580,3743 West,Belmont Ave,10/16/2006,26200,East Bound: 14100 / West Bound: 12100
104,6480 South,Ashland Ave,3/21/2006,27100,North Bound: 14000 / South Bound: 13100
182,1055 West,79th Street,3/28/2006,17600,East Bound: 9500 / West Bound: 8100
721,6135 West,Grand Ave,10/23/2006,22800,East Bound: 9700 / West Bound: 13100
824,1625 West,Irving Park Rd,8/29/2006,33000,East Bound: 16900 / West Bound: 16100
1052,1020 West,Adams St,9/19/2006,5100,West Bound: 5100/ Oneway West Bound 
649,3250 North,Harlem Ave,10/25/2006,28900,North Bound: 15200 / South Bound: 13700
1291,11356 South,Wentworth Ave,8/29/2006,5300,North Bound: 2600 / South Bound: 2700
210,202 West,95th Street,3/28/2006,33900,East Bound: 17200 / West Bound: 16700
1306,2209 West,103rd St,8/22/2006,19000,East Bound: 9300 / West Bound: 9700
969,6137 North,Clark St,8/24/2006,32100,North Bound: 15500 / South Bound: 16600
440,3433 West,Madison St,10/12/2006,15600,East Bound: 7800 / West Bound: 7800
195,3045 East,83rd St,3/28/2006,7300,East Bound: 3800 / West Bound: 3500
896,2426 North,Laramie Ave,10/23/2006,15900,North Bound: 8000 / South Bound: 7900
133,4028 South,Western Ave,3/14/2006,25600,North Bound: 12900 / South Bound: 12700
730,1300 West,Washington St,11/14/2006,5900,East Bound: 5900 / / Oneway East Bound
243,2263 West,18th Street,3/30/2006,6700,East Bound: 3200 / West Bound: 3500
303,205 East,Marquette Rd,4/27/2006,16800,East Bound: 7500 / West Bound: 9300
846,2249 West,Montrose Ave,11/14/2006,16400,East Bound: 8000 / West Bound: 8400
1206,3865 West,Columbus Ave,8/22/2006,16900,North Bound: 8300 / South Bound: 8600
1088,2630 West,Division St,10/18/2006,19500,East Bound: 8900 / West Bound: 10600
454,711 East,111th St,8/29/2006,16500,East Bound: 7500 / West Bound: 9000
97,3247 South,Archer Ave,3/8/2006,15100,North Bound: 8200 / South Bound: 6900
1128,646 North,Michigan Ave,10/25/2006,42200,North Bound: 21200 / South Bound: 21000
793,1526 North,Western Ave,10/2/2006,39400,North Bound: 19600 / South Bound: 19800
409,1125 North,Cicero Ave,10/16/2006,37800,North Bound: 18700 / South Bound: 19100
1063,303 East,Cermak Rd,10/17/2006,25700,East Bound: 10900 / West Bound: 14800
1070,16 South,Clark St,9/27/2006,15500,South Bound: 15500/ Oneway South Bound 
255,1301 West,35th St,4/25/2006,17000,East Bound: 9100 / West Bound: 7900
394,13027 South,Baltimore Ave,11/8/2006,4400,North Bound: 1800 / South Bound: 2600
488,3816 West,Bryn Mawr Ave,9/19/2006,14500,East Bound: 7200 / West Bound: 7300
92,9532 South,Wentworth Ave,3/8/2006,4900,North Bound: 2800 / South Bound: 2100
610,3001 South,Kedzie Ave,8/10/2006,25400,North Bound: 12500 / South Bound: 12900
11,8933 South,Commercial Ave,3/7/2006,10500,North Bound: 4900 / South Bound: 5600
1233,8212 South,Ashland Ave,10/4/2006,34300,North Bound: 18200 / South Bound: 16100
271,715 West,51st St,4/27/2006,8500,East Bound: 4000 / West Bound: 4500
794,1136 North,Milwaukee Ave,10/30/2006,14100,North Bound: 6600 / South Bound: 7500
348,8349 South,Bond Ave,3/28/2006,11100,North Bound: 5400 / South Bound: 5700
548,3100 West,59th St,10/26/2006,21300,East Bound: 10300 / West Bound: 11000
948,3741 West,North Ave,10/18/2006,37300,East Bound: 18400 / West Bound: 18900
48,1933 South,Indiana Ave,3/2/2006,6100,North Bound: 3800 / South Bound: 2300
696,220 South,Wabash Ave,9/19/2006,10900,South Bound: 10900/ Oneway South Bound 
1123,3060 South,Michigan Ave,10/18/2006,18900,North Bound: 8000 / South Bound: 10900
470,738 West,107th St,8/29/2006,10900,East Bound: 5100 / West Bound: 5800
116,3541 South,Halsted St,3/21/2006,15300,North Bound: 7900 / South Bound: 7400
661,3220 North,Damen Ave,8/16/2006,17000,North Bound: 8900 / South Bound: 8100
332,650 East,Rainey Dr,3/28/2006,16300,East Bound: 9200 / West Bound: 7100
1211,7153 South,Kedzie Ave,11/9/2006,30200,North Bound: 15100 / South Bound: 15100
300,2509 West,Marquette Rd,3/28/2006,14900,East Bound: 7300 / West Bound: 7600
232,8210 South,Loomis St,3/23/2006,5500,North Bound: 2500 / South Bound: 3000
644,2830 North,Kostner Ave,9/6/2006,7600,North Bound: 4000 / South Bound: 3600
931,2671 West,Foster Ave,8/15/2006,23700,East Bound: 11200 / West Bound: 12500
1267,1170 East,Midway Plaissance,10/26/2006,14400,East Bound: 7900 / West Bound: 6500
958,935 West,Armitage Ave,10/11/2006,13100,East Bound: 7100 / West Bound: 6000
516,1925 West,Division St,9/21/2006,26800,East Bound: 14200 / West Bound: 12600
873,5980 North,East River Rd,8/16/2006,19300,North Bound: 9200 / South Bound: 10100
420,3541 East,106th St,10/18/2006,16500,East Bound: 9900 / West Bound: 6600
533,513 South,Damen Ave,8/16/2006,33600,North Bound: 16200 / South Bound: 17400
1167,3750 West,31st St,9/14/2006,18800,East Bound: 9000 / West Bound: 9800
676,4421 North,Sheridan Rd,8/29/2006,7500,North Bound: 3400 / South Bound: 4100
817,6431 West,63rd St,10/11/2006,18200,East Bound: 9100 / West Bound: 9100
377,5224 South,Woodlawn Ave,5/2/2006,7200,North Bound: 3500 / South Bound: 3700
926,7420 North,California Ave,8/22/2006,10400,North Bound: 5100 / South Bound: 5300
399,133 South,Ashland Ave,8/31/2006,31700,North Bound: 16800 / South Bound: 14900
595,6750 South,Kedzie Ave,10/11/2006,26000,North Bound: 13800 / South Bound: 12200
575,135 South,Pulaski Rd,10/4/2006,24200,North Bound: 12100 / South Bound: 12100
878,6747 West,Foster Ave,8/22/2006,14300,East Bound: 7400 / West Bound: 6900
121,8728 South,Halsted St,3/21/2006,30900,North Bound: 16500 / South Bound: 14400
654,3255 North,Cicero Ave,10/11/2006,40600,North Bound: 20900 / South Bound: 19700
354,9592 South,Colfax Ave,10/18/2006,13100,North Bound: 6800 / South Bound: 6300
639,2855 North,Ashland Ave,8/29/2006,37400,North Bound: 19300 / South Bound: 18100
162,7206 South,Yates Blvd,3/28/2006,12500,North Bound: 6300 / South Bound: 6200
861,2459 North,Central Ave,10/26/2006,25000,North Bound: 11600 / South Bound: 13400
237,5235 South,Racine Ave,3/23/2006,7700,North Bound: 3900 / South Bound: 3800
1254,1669 East,51st St,9/20/2006,4400,East Bound: 1000 / West Bound: 3400
781,7127 North,Leigh Ave,11/14/2006,8600,North Bound: 4000 / South Bound: 4600
666,3654 North,Halsted St,10/18/2006,16100,North Bound: 7800 / South Bound: 8300
109,719 South,Clark St,3/15/2006,13600,North Bound: 6500 / South Bound: 7100
522,6445 West,Grand Ave,10/23/2006,14800,East Bound: 7500 / West Bound: 7300
916,3308 West,Armitage Ave,8/9/2006,18200,East Bound: 10200 / West Bound: 8000
751,11233 South,Avenue O,10/18/2006,16000,North Bound: 8100 / South Bound: 7900
559,4631 West,Harrison St,10/18/2006,11500,East Bound: 7600 / West Bound: 3900
82,3333 South,State St,3/7/2006,10100,North Bound: 6700 / South Bound: 3400
266,20 West,47th St,4/25/2006,15300,East Bound: 6200 / West Bound: 9100
279,1340 East,55th St,4/27/2006,15700,East Bound: 6500 / West Bound: 9200
1109,3434 West,Jackson Blvd,10/18/2006,10200,East Bound: 4300 / West Bound: 5900
963,2237 West,Belmont Ave,10/16/2006,18700,East Bound: 9200 / West Bound: 9500
1238,8514 South,Loomis St,10/31/2006,6000,North Bound: 2300 / South Bound: 3700
1036,4640 West,Madison St,10/12/2006,24700,East Bound: 11200 / West Bound: 13500
671,4059 North,Pulaski Rd,9/18/2006,21100,North Bound: 11600 / South Bound: 9500
985,2315 West,Lawrence Ave,8/23/2006,26700,East Bound: 14500 / West Bound: 12200
830,6080 North,Caldwell Ave,8/9/2006,27100,North Bound: 13500 / South Bound: 13600
1013,1350 North,Wells St,9/19/2006,17700,North Bound: 5200 / South Bound: 12500
1100,332 South,Halsted St,10/2/2006,20400,North Bound: 10200 / South Bound: 10200
717,1665 North,Sedgwick St,10/4/2006,5700,North Bound: 3500 / South Bound: 2200
177,448 East,76th St,3/28/2006,9300,East Bound: 4300 / West Bound: 5000
222,1848 West,Garfield Blvd,3/15/2006,33200,East Bound: 16000 / West Bound: 17200
1273,2233 West,87th St,10/11/2006,37400,East Bound: 17400 / West Bound: 20000
127,10122 South,Vincennes Ave,3/21/2006,13700,North Bound: 6400 / South Bound: 7300
362,5510 South,Payne Dr,5/4/2006,17200,North Bound: 9100 / South Bound: 8100
500,2344 West,Adams St,10/5/2006,3400,East Bound: 1700 / West Bound: 1700
1002,901 South,Ashland Ave,8/31/2006,42500,North Bound: 22300 / South Bound: 20200
1144,615 West,Randolph St,9/19/2006,18200,West Bound: 18200/ Oneway West Bound 
1201,6203 South,California Ave,8/17/2006,15900,North Bound: 7500 / South Bound: 8400
982,2665 North,Lakeview Ave,10/6/2006,6800,North Bound: 3100 / South Bound: 3700
735,635 North,Dearborn St,9/20/2006,16400,North Bound: 16400 / / Oneway North Bound 
560,4224 West,31st St,11/15/2006,20500,East Bound: 9900 / West Bound: 10600
1263,8121 South,Jeffery Ave,9/6/2006,19500,North Bound: 9500 / South Bound: 10000
1056,320 South,Ashland Ave,8/31/2006,35700,North Bound: 19100 / South Bound: 16600
1295,3020 East,87th St,10/18/2006,6600,East Bound: 3200 / West Bound: 3400
152,1354 West,99th Street,3/21/2006,12800,East Bound: 4400 / West Bound: 8400
433,2439 West,43rd St,8/17/2006,4200,West Bound: 4200/ Oneway West Bound 
1031,250 North,Kostner Ave,9/5/2006,5700,South Bound: 5700/ Oneway South Bound 
1310,3111 West,111th St,9/6/2006,19800,East Bound: 9800 / West Bound: 10000
829,3447 West,Foster Ave,8/15/2006,27500,East Bound: 13400 / West Bound: 14100
891,7455 West,Higgins Ave,8/22/2006,14100,East Bound: 8000 / West Bound: 6100
682,5217 North,Elston Ave,8/10/2006,18200,North Bound: 9400 / South Bound: 8800
1124,5446 South,Michigan Ave,10/11/2006,10800,South Bound: 10800/ Oneway South Bound 
746,176 North,Wells St,9/19/2006,10600,South Bound: 10600/ Oneway South Bound 
1345,480 South,Franklin St,10/2/2006,9700,North Bound: 9700 / / Oneway North Bound
1150,3050 South,State St,10/18/2006,23100,North Bound: 11600 / South Bound: 11500
307,7230 South,Morgan St,3/9/2006,3600,North Bound: 1600 / South Bound: 2000
936,3056 West,Irving Park Rd,10/16/2006,47300,East Bound: 23400 / West Bound: 23900
842,2458 West,Addison St,8/14/2006,27000,East Bound: 12100 / West Bound: 14900
492,7114 West,Devon Ave,8/15/2006,22600,East Bound: 11200 / West Bound: 11400
951,3723 North,Pulaski Rd,10/5/2006,22700,North Bound: 11100 / South Bound: 11600
1092,315 West,Garfield Blvd,10/19/2006,36700,East Bound: 19500 / West Bound: 17200
1272,6017 South,Stony Island Ave,10/25/2006,19200,North Bound: 9800 / South Bound: 9400
247,943 West,31st St,3/30/2006,10000,East Bound: 4800 / West Bound: 5200
653,3620 North,Laramie Ave,10/23/2006,16700,North Bound: 8600 / South Bound: 8100
428,2900 West,26th St,10/16/2006,13700,East Bound: 2600 / West Bound: 11100
1059,3049 West,Augusta Blvd,10/18/2006,8500,East Bound: 4000 / West Bound: 4500
335,1973 West,Harrison St,4/26/2006,7900,East Bound: 3500 / West Bound: 4400
157,10129 South,Avenue L,3/21/2006,4200,North Bound: 2100 / South Bound: 2100
1202,3751 South,California Ave,8/17/2006,25300,North Bound: 11800 / South Bound: 13500
606,4611 South,Kedzie Ave,8/10/2006,29200,North Bound: 14600 / South Bound: 14600
1075,101 South,Clinton St,10/2/2006,11500,South Bound: 11500/ Oneway South Bound
328,1073 South,Columbus Dr,4/26/2006,37900,North Bound: 19000 / South Bound: 18900
250,20 West,31st St,4/25/2006,14400,East Bound: 6900 / West Bound: 7500
6,758 West,71st Street,2/28/2006,21600,East Bound: 10400 / West Bound: 11200
1351,417 South,Dearborn St,9/20/2006,15100,North Bound: 15100 / / Oneway North Bound 
295,67 East,Cermak Rd,4/25/2006,14700,East Bound: 7500 / West Bound: 7200
919,3524 West,Belmont Ave,10/16/2006,27500,East Bound: 17000 / West Bound: 10500
1191,6303 West,63rd St,10/25/2006,21200,East Bound: 11300 / West Bound: 9900
544,400 South,Kostner Ave,9/5/2006,18700,North Bound: 13700 / South Bound: 5000
475,5858 South,Archer Ave,9/12/2006,28700,East Bound: 14300 / West Bound: 14400
467,6526 North,California Ave,8/23/2006,11400,North Bound: 5600 / South Bound: 5800
267,410 East,47th St,4/27/2006,14700,East Bound: 7100 / West Bound: 7600
96,2345 South,Archer Ave,3/8/2006,13300,North Bound: 7100 / South Bound: 6200
700,323 North,Pulaski Rd,10/4/2006,24800,North Bound: 12000 / South Bound: 12800
992,3324 North,Racine Ave,10/26/2006,8900,North Bound: 5300 / South Bound: 3600
190,10 East,83rd St,3/23/2006,18400,East Bound: 9100 / West Bound: 9300
43,10326 South,Dr Martin Luther King Jr Dr,2/28/2006,11100,North Bound: 5300 / South Bound: 5800
705,209 North,Damen Ave,8/16/2006,20300,North Bound: 11400 / South Bound: 8900
512,1521 West,Chicago Ave,10/18/2006,17100,East Bound: 8100 / West Bound: 9000
1163,150 North,Wacker Dr,11/16/2006,23800,North Bound: 11100 / South Bound: 12700
777,5653 North,East River Rd,8/16/2006,25300,North Bound: 12100 / South Bound: 13200
1114,901 West,Lake St,11/14/2006,14100,East Bound: 7200 / West Bound: 6900
529,446 West,119th St,8/29/2006,11500,East Bound: 6000 / West Bound: 5500
724,6050 West,Addison St,11/7/2006,24200,East Bound: 11800 / West Bound: 12400
462,30 East,Monroe St,9/19/2006,13000,East Bound: 13000 / / Oneway East Bound 
1258,8616 South,Commercial Ave,10/18/2006,13000,North Bound: 6900 / South Bound: 6100
1300,9004 South,Jeffery Ave,9/6/2006,19300,North Bound: 9200 / South Bound: 10100
1305,3235 West,103rd St,10/24/2006,31800,East Bound: 14200 / West Bound: 17600
633,2435 North,Ashland Ave,8/29/2006,40200,North Bound: 19800 / South Bound: 20400
185,65 East,79th St,3/28/2006,17600,East Bound: 9400 / West Bound: 8200
570,5831 North,California Ave,8/23/2006,11400,North Bound: 5400 / South Bound: 6000
1014,516 North,Wells St,9/19/2006,16300,South Bound: 16300/ Oneway South Bound 
857,10 South,Canal St,9/19/2006,12100,North Bound: 12100 / / Oneway North Bound
729,6570 West,North Ave,10/18/2006,41700,East Bound: 21600 / West Bound: 20100
711,1240 North,Homan Ave,9/27/2006,8900,North Bound: 4300 / South Bound: 4600
589,8220 South,Kedzie Ave,8/15/2006,21300,North Bound: 10600 / South Bound: 10700
997,2228 North,Southport Ave,10/17/2006,8700,North Bound: 4400 / South Bound: 4300
406,1440 West,55th St,10/11/2006,35200,East Bound: 18500 / West Bound: 16700
283,609 West,59th St,4/27/2006,14700,East Bound: 6900 / West Bound: 7800
1382,3260 North,Western Ave (frontage rd),10/24/2006,9900,North Bound: 5000 / South Bound: 4900
1223,1229 West,31st St,10/19/2006,8600,East Bound: 5500 / West Bound: 3100
695,324 South,Racine Ave,10/23/2006,12500,North Bound: 7500 / South Bound: 5000
233,1031 South,Racine Ave,3/30/2006,10700,North Bound: 6400 / South Bound: 4300
526,662 West,Belmont Ave,10/16/2006,20800,East Bound: 10000 / West Bound: 10800
132,3225 South,Western Ave,3/22/2006,35300,North Bound: 18100 / South Bound: 17200
874,5140 North,East River Rd,8/16/2006,22500,North Bound: 11100 / South Bound: 11400
1168,1347 South,Ashland Ave,10/26/2006,38700,North Bound: 20300 / South Bound: 18400
808,22 East,Division St,9/21/2006,8400,East Bound: 4300 / West Bound: 4100
662,3228 North,Sheffield Ave,10/4/2006,9500,North Bound: 5000 / South Bound: 4500
555,3238 West,Fullerton Ave,11/14/2006,33200,East Bound: 15300 / West Bound: 17900
1009,2532 West,Washington St,10/5/2006,7000,East Bound: 7000 / / Oneway East Bound
374,2653 West,Ogden Ave,5/9/2006,23900,East Bound: 11900 / West Bound: 12000
145,8450 South,Stony Island Ave,3/14/2006,61500,North Bound: 31300 / South Bound: 30200
1234,7331 South,Damen Ave,10/11/2006,20300,North Bound: 10200 / South Bound: 10100
1095,3924 West,Grand Ave,11/16/2006,17400,East Bound: 8700 / West Bound: 8700
387,11201 South,Cottage Grove Ave,10/4/2006,6700,North Bound: 3300 / South Bound: 3400
813,1920 West,115th St,10/31/2006,6300,East Bound: 3000 / West Bound: 3300
596,6210 South,Cicero Ave,10/23/2006,59900,North Bound: 30400 / South Bound: 29500
1041,250 East,26th St,10/17/2006,8400,East Bound: 3600 / West Bound: 4800
496,1645 West,Jackson Blvd,10/5/2006,5500,East Bound: 5500 / / Oneway East Bound 
1277,4851 West,Montrose Ave,8/29/2006,28100,East Bound: 13800 / West Bound: 14300
886,1837 North,Harlem Ave,10/26/2006,26000,North Bound: 13500 / South Bound: 12500
903,3725 North,Narragansett Ave,10/25/2006,24200,North Bound: 11000 / South Bound: 13200
218,235 East,103rd St,3/28/2006,21700,East Bound: 12300 / West Bound: 9400
167,642 East,67th St,3/28/2006,12600,East Bound: 6100 / West Bound: 6500
1129,1215 North,Milwaukee Ave,10/30/2006,13800,North Bound: 6700 / South Bound: 7100
838,25 North,Cicero Ave,10/23/2006,37000,North Bound: 18300 / South Bound: 18700
62,8645 South,Jeffery Blvd,5/4/2006,19300,North Bound: 9300 / South Bound: 10000
564,5105 West,Addison St,8/14/2006,22200,East Bound: 11200 / West Bound: 11000
766,1548 North,Laramie Ave,10/23/2006,18400,North Bound: 8400 / South Bound: 10000
600,5433 South,Central Ave,9/12/2006,27400,North Bound: 14200 / South Bound: 13200
1079,40 East,Congress Pkwy,2/21/2007,40700,East Bound: 20400 / West Bound: 20300
623,1629 North,Ashland Ave,8/31/2006,30700,North Bound: 14100 / South Bound: 16600
923,5417 North,California Ave,8/15/2006,12800,North Bound: 6400 / South Bound: 6400
741,4212 West,Armitage Ave,11/8/2006,17700,East Bound: 9200 / West Bound: 8500
78,7732 South,South Shore Dr,3/9/2006,16400,North Bound: 8100 / South Bound: 8300
686,5725 North,Broadway,8/24/2006,25900,North Bound: 10900 / South Bound: 15000
1105,713 South,Homan Ave,9/27/2006,15700,North Bound: 8100 / South Bound: 7600
324,3223 East,85th St,3/28/2006,12300,East Bound: 6700 / West Bound: 5600
23,10101 South,Cottage Grove Ave,3/2/2006,12500,North Bound: 5800 / South Bound: 6700
1155,646 South,State St,9/19/2006,31400,North Bound: 20200 / South Bound: 11200
940,3630 North,Kimball Ave,10/9/2006,19600,North Bound: 9600 / South Bound: 10000
758,6336 South,Harlem Ave,9/12/2006,58100,North Bound: 29000 / South Bound: 29100
311,750 East,Pershing Rd,4/25/2006,9800,East Bound: 4600 / West Bound: 5200
1245,1599 South,Racine Ave,10/4/2006,13100,North Bound: 6600 / South Bound: 6500
1324,8538 South,South Chicago Ave,11/2/2006,16300,North Bound: 8600 / South Bound: 7700
172,504 East,75th St,3/28/2006,16100,East Bound: 8500 / West Bound: 7600
760,6312 South,California Ave,10/11/2006,16600,North Bound: 6700 / South Bound: 9900
955,2257 West,Addison Ave,11/7/2006,21800,East Bound: 10800 / West Bound: 11000
449,1418 West,Bryn Mawr Ave,10/24/2006,6500,East Bound: 3600 / West Bound: 2900
1044,452 West,47th St,10/19/2006,19800,East Bound: 9500 / West Bound: 10300
113,2123 South,Clark St,3/15/2006,12800,North Bound: 7300 / South Bound: 5500
358,682 South,Des Plaines St,10/3/2006,6300,South Bound: 6300/ Oneway South Bound
1025,5238 West,Division St,10/18/2006,18200,East Bound: 8400 / West Bound: 9800
1353,400 South,State St,9/19/2006,24200,North Bound: 14900 / South Bound: 9300
796,1111 North,Clark St,9/27/2006,14100,North Bound: 4500 / South Bound: 9600
1368,5423 South,Lake Shore Dr,9/20/2006,103100,North Bound: 54200 / South Bound: 48900
443,4637 West,Roosevelt Rd,10/19/2006,22600,East Bound: 11500 / West Bound: 11100
1330,299 North,Dearborn St,1/9/2007,16600,North Bound: 16600 / / Oneway North Bound
291,1248 West,Cermak Rd,4/25/2006,17300,East Bound: 9000 / West Bound: 8300
1187,3642 West,47th St,8/10/2006,22300,East Bound: 11200 / West Bound: 11100
339,15 East,Harrison ST,3/28/2006,5900,East Bound: 2500 / West Bound: 3400
1067,2650 West,Chicago Ave,10/18/2006,18800,East Bound: 8900 / West Bound: 9900
64,9633 South,Jeffery Ave,5/4/2006,7700,North Bound: 4100 / South Bound: 3600
1135,1126 North,Orleans St,9/21/2006,19800,North Bound: 10500 / South Bound: 9300
83,4605 South,State St,5/2/2006,21500,North Bound: 11200 / South Bound: 10300
223,226 East,Garfield Blvd,3/14/2006,31800,East Bound: 17100 / West Bound: 14700
722,6325 West,Fullerton Ave,8/17/2006,30300,East Bound: 15000 / West Bound: 15300
200,282 West,87th Street,3/28/2006,15800,East Bound: 7900 / West Bound: 7900
853,1728 North,Austin Ave,10/26/2006,20300,North Bound: 9700 / South Bound: 10600
205,2108 West,95th Street,3/22/2006,25500,East Bound: 13000 / West Bound: 12500
363,3027 South,Pitney Ct,5/4/2006,1800,North Bound: 800 / South Bound: 1000
1284,400 East,130th St,8/29/2006,25100,East Bound: 12200 / West Bound: 12900
1282,1400 West,119th St,8/24/2006,13300,East Bound: 7100 / West Bound: 6200
478,4706 West,47th St,11/14/2006,30300,East Bound: 14300 / West Bound: 16000
20,7346 South,Cottage Grove Ave,3/1/2006,17800,North Bound: 8700 / South Bound: 9100
1118,1650 West,Madison St,10/5/2006,10500,East Bound: 6000 / West Bound: 4500
629,1666 North,Narragansett Ave,10/25/2006,13000,North Bound: 6300 / South Bound: 6700
402,2535 West,Pershing Rd,9/26/2006,12300,East Bound: 6000 / West Bound: 6300
772,2708 North,Halsted St,11/9/2006,14500,North Bound: 7200 / South Bound: 7300
541,209 South,Wells St,9/19/2006,11600,South Bound: 11600/ Oneway South Bound 
907,3130 North,Oak Park Ave,10/25/2006,17100,North Bound: 7900 / South Bound: 9200
1363,111 East,Wacker(upper) Dr,11/7/2006,15200,East Bound: 8500 / West Bound: 6700
1335,355 West,Lake St,10/2/2006,15000,East Bound: 10700 / West Bound: 4300
501,3932 West,Madison St,11/15/2006,19300,East Bound: 9600 / West Bound: 9700
149,5640 South,Stony Island Ave,3/14/2006,12500,North Bound: 6600 / South Bound: 5900
370,1040 South,Wells St,5/11/2006,4200,North Bound: 2000 / South Bound: 2200
1173,3658 West,Cermak Rd,9/14/2006,18000,East Bound: 8900 / West Bound: 9100
508,3165 West,Franklin Blvd,10/12/2006,3900,East Bound: 1700 / West Bound: 2200
619,1820 North,Kimball Ave,10/9/2006,10500,North Bound: 4700 / South Bound: 5800
1022,4344 West,26th St,9/12/2006,17300,East Bound: 8100 / West Bound: 9200
870,6193 West,Devon Ave,8/15/2006,33300,East Bound: 16700 / West Bound: 16600
391,12423 South,Michigan Ave,11/14/2006,8900,North Bound: 4000 / South Bound: 4900
1219,5231 South,Pulaski Rd,8/15/2006,60400,North Bound: 33300 / South Bound: 27100
1316,10216 South,Pulaski Rd,8/22/2006,34000,North Bound: 16800 / South Bound: 17200
689,7477 North,Clark St,8/23/2006,19900,North Bound: 9700 / South Bound: 10200
1319,11427 South,Western Ave,8/22/2006,19600,North Bound: 10200 / South Bound: 9400
584,11450 South,Kedzie Ave,8/22/2006,19600,North Bound: 10200 / South Bound: 9400
976,1059 West,Foster Ave,8/24/2006,24200,East Bound: 10400 / West Bound: 13800
38,4358 South,Dr Martin Luther King Jr Dr,3/2/2006,14500,North Bound: 6600 / South Bound: 7900
803,1527 West,Irving Park Rd,8/29/2006,29800,East Bound: 15900 / West Bound: 13900
368,634 South,Wabash Ave,5/2/2006,9100,North Bound: 3300 / South Bound: 5800
1358,197 East,Monroe St,9/20/2006,13500,East Bound: 8100 / West Bound: 5400
